date,net_pnl,total_volume,trades,profit_rate,sentiment,cumulative_net_pnl,greed_flag
2023-05-01,0.0,477.0,3,0.0,Greed,0.0,1
2023-12-05,0.0,50005.83,9,0.0,Extreme Greed,0.0,1
2023-12-14,-205.43473700000007,113203.35,11,0.36363636363636365,Greed,-205.43473700000007,1
2023-12-15,-24.632033999999997,10609.95,2,0.0,Greed,-230.06677100000007,1
2023-12-16,0.0,15348.77,3,0.0,Greed,-230.06677100000007,1
2023-12-17,304.982785,116278.02,14,0.5,Greed,74.9160139999999,1
2023-12-18,0.0,31164.179999999997,2,0.0,Greed,74.9160139999999,1
2023-12-19,1000.5386120000001,91602.41,15,0.6666666666666666,Greed,1075.454626,1
2023-12-20,162.732282,141636.79,18,0.4444444444444444,Greed,1238.186908,1
2023-12-21,537.211402,125233.97,49,0.5306122448979592,Greed,1775.39831,1
2023-12-22,141.832675,88874.28,10,0.2,Greed,1917.2309850000001,1
2023-12-23,146.936704,78438.25,13,0.6153846153846154,Greed,2064.1676890000003,1
2023-12-24,1008.619956,402954.94,39,0.38461538461538464,Greed,3072.7876450000003,1
2023-12-25,-245.081348,59948.51,3,0.0,Greed,2827.706297,1
2023-12-27,-704.8892269999999,171411.06,28,0.14285714285714285,Greed,2122.81707,1
2023-12-28,-970.730876,100117.25,23,0.0,Greed,1152.086194,1
2023-12-29,508.92214299999995,569559.72,50,0.3,Greed,1661.008337,1
2023-12-30,354.998648,702550.21,52,0.4423076923076923,Greed,2016.006985,1
2024-01-01,-129.53146,264239.52999999997,18,0.05555555555555555,Greed,1886.475525,1
2024-01-02,783.979116,121348.74,17,0.47058823529411764,Greed,2670.4546410000003,1
2024-01-03,866.015507,394499.36,67,0.417910447761194,Greed,3536.4701480000003,1
2024-01-04,-67.60364,99792.54000000001,5,0.0,Greed,3468.8665080000005,1
2024-01-05,164.141565,1703942.66,66,0.19696969696969696,Greed,3633.0080730000004,1
2024-01-06,135.58166400000002,298521.4,22,0.45454545454545453,Greed,3768.5897370000002,1
2024-01-07,-835.681235,1048850.06,97,0.09278350515463918,Greed,2932.908502,1
2024-01-08,-269.874439,1522452.43,128,0.25,Greed,2663.034063,1
2024-01-09,-826.349863,870051.97,70,0.2571428571428571,Extreme Greed,1836.6842000000001,1
2024-01-10,-1517.091342,2057479.48,193,0.21243523316062177,Greed,319.5928580000002,1
2024-01-11,-164.08950099999998,305314.1,21,0.23809523809523808,Extreme Greed,155.50335700000022,1
2024-01-12,-1925.519024,200082.27,7,0.0,Greed,-1770.0156669999997,1
2024-01-15,152.85358,50636.1,14,0.6428571428571429,Neutral,-1617.1620869999997,0
2024-01-16,-2299.171458,116427.33,9,0.3333333333333333,Greed,-3916.3335449999995,1
2024-01-17,813.2741110000001,800831.03,53,0.20754716981132076,Greed,-3103.0594339999993,1
2024-01-18,68.93319,424631.52999999997,46,0.06521739130434782,Greed,-3034.126243999999,1
2024-01-19,-385.419235,428428.97,48,0.125,Neutral,-3419.545478999999,0
2024-01-20,-146.57487000000003,1070090.51,106,0.14150943396226415,Neutral,-3566.120348999999,0
2024-01-21,266.58114600000005,103129.74,11,0.2727272727272727,Greed,-3299.539202999999,1
2024-01-22,1375.640959,337878.99,85,0.27058823529411763,Greed,-1923.8982439999988,1
2024-01-23,-369.2447299999998,414518.93000000005,45,0.24444444444444444,Neutral,-2293.1429739999985,0
2024-01-24,-2808.353815,965084.59,68,0.14705882352941177,Neutral,-5101.496788999999,0
2024-01-25,-3093.6293849999997,66566.13,6,0.0,Neutral,-8195.126173999999,0
2024-01-26,90.2,11773.21,5,0.2,Neutral,-8104.926173999999,0
2024-01-28,-2478.06972,18109.03,11,0.0,Neutral,-10582.995894,0
2024-01-29,486.562542,414208.18,74,0.6081081081081081,Greed,-10096.433352,1
2024-01-30,-173.65419100000003,401011.38,49,0.10204081632653061,Greed,-10270.087543,1
2024-01-31,-799.840817,6305647.13,859,0.2689173457508731,Greed,-11069.92836,1
2024-02-01,0.0,2008.18,6,0.0,Greed,-11069.92836,1
2024-02-02,456.423473,474278.43,42,0.30952380952380953,Greed,-10613.504887,1
2024-02-03,223.30918699999998,603820.0,56,0.10714285714285714,Greed,-10390.195699999998,1
2024-02-04,47.62389499999999,203187.53,35,0.2571428571428571,Greed,-10342.571804999998,1
2024-02-05,-33.45419400000003,770198.26,72,0.19444444444444445,Greed,-10376.025998999998,1
2024-02-06,-215.615907,8047153.41,1088,0.1645220588235294,Greed,-10591.641905999997,1
2024-02-07,241.24212,6758.73,15,0.13333333333333333,Greed,-10350.399785999996,1
2024-02-08,770.756024,26051.12,10,0.4,Greed,-9579.643761999996,1
2024-02-11,983.443176,212311.82,34,0.20588235294117646,Greed,-8596.200585999995,1
2024-02-12,913.8817869999998,227247.69999999998,16,0.375,Greed,-7682.318798999995,1
2024-02-13,559.44389,1999.99,14,1.0,Extreme Greed,-7122.874908999995,1
2024-02-14,3830.599833,320839.88,111,0.7477477477477478,Greed,-3292.2750759999944,1
2024-02-15,1840.797677,185188.04,63,0.9047619047619048,Greed,-1451.4773989999944,1
2024-02-16,5491.768834,564896.51,182,0.8021978021978022,Greed,4040.291435000006,1
2024-02-17,1929.6418,406118.07,94,0.648936170212766,Extreme Greed,5969.933235000006,1
2024-02-18,477.6248299999999,157048.17,97,0.6288659793814433,Greed,6447.558065000006,1
2024-02-19,4317.768563,286377.2,101,0.7623762376237624,Extreme Greed,10765.326628000006,1
2024-02-20,3263.628824,119419.72,39,0.7948717948717948,Greed,14028.955452000006,1
2024-02-21,1858.7985700000002,108047.51999999999,22,0.6818181818181818,Extreme Greed,15887.754022000006,1
2024-02-22,3894.1050699999996,373033.87,88,0.45454545454545453,Greed,19781.859092000006,1
2024-02-23,1418.55293,111106.14,143,0.958041958041958,Extreme Greed,21200.412022000008,1
2024-02-25,-30.7705,4480.13,5,0.0,Greed,21169.64152200001,1
2024-02-26,4416.8473,192187.14,39,0.8717948717948718,Greed,25586.48882200001,1
2024-02-27,888.511733,209362.3,63,0.4126984126984127,Extreme Greed,26475.00055500001,1
2024-02-28,2503.747235,171107.13,45,0.8666666666666667,Extreme Greed,28978.74779000001,1
2024-02-29,9813.996992,395666.73,116,0.8620689655172413,Extreme Greed,38792.74478200001,1
2024-03-01,8244.241409,472974.7,137,0.9343065693430657,Extreme Greed,47036.98619100001,1
2024-03-02,230.90060000000005,63197.56,31,0.6774193548387096,Extreme Greed,47267.88679100001,1
2024-03-03,8361.086245,390745.68,79,0.6835443037974683,Extreme Greed,55628.97303600001,1
2024-03-04,27799.775742,1577996.87,300,0.8866666666666667,Extreme Greed,83428.74877800001,1
2024-03-05,19791.026041,841810.32,180,0.9055555555555556,Extreme Greed,103219.77481900001,1
2024-03-06,6814.825139,327218.02,82,0.8780487804878049,Extreme Greed,110034.599958,1
2024-03-08,4271.886236,183583.18,67,0.8805970149253731,Extreme Greed,114306.48619400001,1
2024-03-09,9949.501624,658178.75,117,0.8290598290598291,Extreme Greed,124255.98781800001,1
2024-03-10,2482.9272,219973.85,42,0.6904761904761905,Extreme Greed,126738.91501800001,1
2024-03-11,3588.179495,176519.44999999998,42,0.9285714285714286,Extreme Greed,130327.09451300002,1
2024-03-12,3039.166,103040.85,8,0.875,Extreme Greed,133366.26051300002,1
2024-03-13,0.0,6000.799999999999,7,0.0,Extreme Greed,133366.26051300002,1
2024-03-14,3465.865832,205933.18,18,0.8888888888888888,Extreme Greed,136832.12634500003,1
2024-03-15,6236.513651,351894.41,62,0.6612903225806451,Extreme Greed,143068.639996,1
2024-03-16,228.57984,37223.66,8,0.125,Extreme Greed,143297.219836,1
2024-03-17,503.293955,99506.95,23,0.43478260869565216,Extreme Greed,143800.513791,1
2024-03-18,1456.9577,90458.08,19,0.3157894736842105,Extreme Greed,145257.471491,1
2024-03-19,668.797973,219884.84,24,0.20833333333333334,Extreme Greed,145926.269464,1
2024-03-20,6423.134599,215705.85,69,0.8695652173913043,Greed,152349.40406300002,1
2024-03-21,2335.5080749999997,117895.57,28,0.8214285714285714,Extreme Greed,154684.912138,1
2024-03-24,1297.018477,92592.20999999999,19,0.7894736842105263,Greed,155981.93061500002,1
2024-03-25,1302.916428,57116.32,7,0.8571428571428571,Extreme Greed,157284.84704300002,1
2024-03-26,3215.906593,198565.19,118,0.9322033898305084,Extreme Greed,160500.753636,1
2024-03-27,150.41114,99864.79,38,0.3157894736842105,Extreme Greed,160651.16477600002,1
2024-03-28,227.85100799999998,35323.72,13,0.6923076923076923,Extreme Greed,160879.01578400002,1
2024-03-29,883.097404,86914.37,15,0.4,Extreme Greed,161762.11318800002,1
2024-03-30,1100.57514,101103.92,45,0.9777777777777777,Extreme Greed,162862.68832800002,1
2024-03-31,912.786145,39912.96,13,0.7692307692307693,Extreme Greed,163775.474473,1
2024-04-01,2507.963406,339470.47,77,0.5454545454545454,Extreme Greed,166283.437879,1
2024-04-02,883.760812,239664.50999999998,41,0.2926829268292683,Extreme Greed,167167.198691,1
2024-04-03,126.7884,16887.57,4,0.25,Greed,167293.987091,1
2024-04-04,0.0,95987.73,32,0.0,Greed,167293.987091,1
2024-04-05,10706.484306,503791.8,100,0.9,Extreme Greed,178000.471397,1
2024-04-06,236.33513399999998,68223.67,16,0.25,Extreme Greed,178236.80653099998,1
2024-04-07,0.0,49988.14,23,0.0,Extreme Greed,178236.80653099998,1
2024-04-08,1218.4267,211940.64,30,0.03333333333333333,Extreme Greed,179455.233231,1
2024-04-09,0.0,57063.840000000004,3,0.0,Extreme Greed,179455.233231,1
2024-04-10,5207.443414,351735.97,41,0.8780487804878049,Extreme Greed,184662.676645,1
2024-04-11,389.743164,76400.96,16,0.125,Extreme Greed,185052.419809,1
2024-04-12,-592.6458390000001,442088.59,129,0.5503875968992248,Extreme Greed,184459.77397,1
2024-04-13,6621.451755,486411.25,89,0.6853932584269663,Greed,191081.225725,1
2024-04-14,-36104.012520000004,659162.17,107,0.308411214953271,Greed,154977.21320499998,1
2024-04-15,3774.08872,291111.19,41,0.8536585365853658,Greed,158751.30192499998,1
2024-04-16,2467.702221,181907.17,47,0.9148936170212766,Greed,161219.004146,1
2024-04-17,2441.4683999999997,97562.99,14,0.9285714285714286,Greed,163660.472546,1
2024-04-19,1946.4454620000001,337257.92000000004,35,0.7714285714285715,Greed,165606.918008,1
2024-04-20,0.0,60733.24,22,0.0,Greed,165606.918008,1
2024-04-22,0.0,47993.61,9,0.0,Greed,165606.918008,1
2024-04-23,1119.536196,233054.9,66,0.5303030303030303,Greed,166726.454204,1
2024-04-24,279.185907,141275.24,20,0.3,Greed,167005.64011100002,1
2024-04-25,0.0,120241.01,74,0.0,Greed,167005.64011100002,1
2024-04-26,0.0,4988.290000000001,3,0.0,Greed,167005.64011100002,1
2024-04-27,4281.488139,154264.47,27,0.7037037037037037,Greed,171287.12825,1
2024-04-28,0.0,43985.6,58,0.0,Greed,171287.12825,1
2024-04-29,526.9338359999999,108699.01,45,0.37777777777777777,Greed,171814.06208600002,1
2024-04-30,0.0,125018.75,24,0.0,Greed,171814.06208600002,1
2024-05-01,0.0,87025.45,14,0.0,Neutral,171814.06208600002,0
2024-05-03,5306.017045,282682.64999999997,36,0.4722222222222222,Neutral,177120.079131,0
2024-05-04,0.0,58998.75,9,0.0,Greed,177120.079131,1
2024-05-05,0.916,24068.350000000002,6,0.16666666666666666,Greed,177120.995131,1
2024-05-06,968.59038,206016.43,9,0.4444444444444444,Greed,178089.585511,1
2024-05-07,883.537693,108717.58,18,0.5,Greed,178973.123204,1
2024-05-08,1.56576,65973.57,13,0.07692307692307693,Greed,178974.688964,1
2024-05-09,1147.595856,221966.12,28,0.39285714285714285,Greed,180122.28482,1
2024-05-10,2101.741695,156882.0,22,0.2727272727272727,Greed,182224.026515,1
2024-05-11,251.604742,63248.95,9,1.0,Neutral,182475.631257,0
2024-05-12,0.0,55179.56,23,0.0,Greed,182475.631257,1
2024-05-13,2136.853859,193118.9,28,0.35714285714285715,Greed,184612.485116,1
2024-05-14,1150.5233050000002,145853.4,23,0.17391304347826086,Greed,185763.008421,1
2024-05-15,948.970582,234922.57,36,0.4722222222222222,Greed,186711.97900300001,1
2024-05-16,214.5898,162620.96,27,0.18518518518518517,Greed,186926.568803,1
2024-05-18,3522.3946610000003,126303.14,25,0.64,Greed,190448.963464,1
2024-05-19,0.0,29998.09,8,0.0,Greed,190448.963464,1
2024-05-20,-74.818442,38124.75,10,0.0,Greed,190374.145022,1
2024-05-21,7289.397571999999,1100948.59,125,0.112,Extreme Greed,197663.542594,1
2024-05-22,0.0,44995.29,6,0.0,Extreme Greed,197663.542594,1
2024-05-23,413.347329,401850.6,325,0.4461538461538462,Extreme Greed,198076.889923,1
2024-05-24,821.949278,50811.899999999994,2,1.0,Greed,198898.839201,1
2024-05-25,14.126038999999999,29991.129999999997,16,0.3125,Extreme Greed,198912.96524,1
2024-05-26,778.6839,53976.67,16,0.25,Extreme Greed,199691.64914,1
2024-05-27,1129.35587,151115.72,251,0.35856573705179284,Greed,200821.00501,1
2024-05-29,277.791953,84268.76,164,0.4146341463414634,Greed,201098.796963,1
2024-05-30,20.951433,2838.09,7,0.7142857142857143,Greed,201119.748396,1
2024-05-31,25.35812,3636.14,13,0.3076923076923077,Greed,201145.106516,1
2024-06-01,91.510419,12834.62,25,0.36,Greed,201236.616935,1
2024-06-02,192.906947,29464.51,93,0.3655913978494624,Greed,201429.523882,1
2024-06-03,562.808208,21466.86,70,0.6285714285714286,Greed,201992.33209,1
2024-06-04,52.211438,24243.41,53,0.4716981132075472,Greed,202044.543528,1
2024-06-05,56.055506,25350.77,54,0.2962962962962963,Extreme Greed,202100.599034,1
2024-06-06,274.173187,137557.76,234,0.42735042735042733,Extreme Greed,202374.77222100002,1
2024-06-07,8902.467416,1098588.76,440,0.4,Extreme Greed,211277.23963700002,1
2024-06-08,129.13883900000002,97351.88,29,0.27586206896551724,Greed,211406.378476,1
2024-06-09,0.0,22410.22,17,0.0,Extreme Greed,211406.378476,1
2024-06-10,31.266804999999998,46587.93,53,0.33962264150943394,Greed,211437.645281,1
2024-06-11,4320.631811,373279.92,123,0.13821138211382114,Greed,215758.277092,1
2024-06-12,-21886.531493,193407.96,254,0.08267716535433071,Greed,193871.74559900002,1
2024-06-13,6632.757115,132577.22,79,0.24050632911392406,Greed,200504.502714,1
2024-06-14,10258.592609,139868.66,31,0.4838709677419355,Greed,210763.095323,1
2024-06-15,3369.958346,718350.25,78,0.48717948717948717,Greed,214133.053669,1
2024-06-16,0.0,25235.079999999998,11,0.0,Greed,214133.053669,1
2024-06-17,10599.502375,368380.12,38,0.6578947368421053,Greed,224732.556044,1
2024-06-18,282.57636,263314.79,25,0.16,Greed,225015.132404,1
2024-06-19,4887.656944,417071.12,61,0.5081967213114754,Greed,229902.789348,1
2024-06-20,57478.456026,207990.8,39,0.20512820512820512,Greed,287381.245374,1
2024-06-21,773.5582039999999,176264.49,80,0.0375,Greed,288154.803578,1
2024-06-22,756.876565,169594.27000000002,24,0.3333333333333333,Neutral,288911.680143,0
2024-06-23,0.0,1792.12,5,0.0,Greed,288911.680143,1
2024-06-24,0.0,403002.8,31,0.0,Neutral,288911.680143,0
2024-06-25,4869.353105,103099.08,49,0.22448979591836735,Fear,293781.03324799996,0
2024-06-26,4197.732182,365190.66000000003,72,0.2916666666666667,Neutral,297978.76542999997,0
2024-06-27,0.0,130486.95,30,0.0,Fear,297978.76542999997,0
2024-06-29,6150.326145,280095.11,75,0.32,Fear,304129.09157499997,0
2024-06-30,0.0,30520.69,14,0.0,Neutral,304129.09157499997,0
2024-07-01,5065.839308,362670.14999999997,64,0.40625,Neutral,309194.93088299996,0
2024-07-02,2421.253116,33347.47,18,0.7222222222222222,Neutral,311616.18399899994,0
2024-07-03,1118.387284,179600.66,18,0.2222222222222222,Neutral,312734.57128299994,0
2024-07-04,0.0,430568.01,25,0.0,Fear,312734.57128299994,0
2024-07-05,0.0,272289.89,32,0.0,Fear,312734.57128299994,0
2024-07-06,108.87217799999999,2490.17,24,0.2916666666666667,Fear,312843.44346099993,0
2024-07-07,61.428942,498.75,10,1.0,Fear,312904.87240299996,0
2024-07-08,0.0,497.64,1,0.0,Fear,312904.87240299996,0
2024-07-09,648.984412,2736.45,15,1.0,Fear,313553.85681499995,0
2024-07-10,11977.734907,687900.21,56,0.6785714285714286,Fear,325531.5917219999,0
2024-07-11,1876.812082,169887.02,19,0.47368421052631576,Fear,327408.40380399994,0
2024-07-12,1412.314654,89582.97,19,0.47368421052631576,Fear,328820.71845799993,0
2024-07-13,2913.617837,139189.19,17,1.0,Fear,331734.3362949999,0
2024-07-14,0.0,84001.13,7,0.0,Fear,331734.3362949999,0
2024-07-15,-1.0,198344.85,26,0.0,Neutral,331733.3362949999,0
2024-07-16,0.0,144000.57,22,0.0,Greed,331733.3362949999,1
2024-07-17,1859.269477,626005.53,351,0.4131054131054131,Greed,333592.6057719999,1
2024-07-18,3803.884311,649704.85,60,0.8,Greed,337396.4900829999,1
2024-07-19,2155.891114,150269.42,23,0.5217391304347826,Greed,339552.3811969999,1
2024-07-20,2299.169566,244362.21,266,0.12406015037593984,Greed,341851.5507629999,1
2024-07-21,-2960.716887,234307.46,448,0.046875,Greed,338890.8338759999,1
2024-07-22,1517.119876,304213.8,154,0.14285714285714285,Greed,340407.9537519999,1
2024-07-23,89890.302206,358526.54,370,0.8891891891891892,Greed,430298.25595799985,1
2024-07-24,625.561479,69207.93,90,0.2,Greed,430923.8174369999,1
2024-07-25,916.7382600000001,528555.31,78,0.1282051282051282,Greed,431840.5556969999,1
2024-07-26,2766.513113,548587.65,152,0.40131578947368424,Greed,434607.0688099999,1
2024-07-27,6400.623656,905199.75,57,0.7368421052631579,Greed,441007.6924659999,1
2024-07-28,587.29903,43254.68,16,0.75,Greed,441594.9914959999,1
2024-07-29,330.80445399999996,327199.14,39,0.41025641025641024,Greed,441925.79594999994,1
2024-07-30,0.0,36006.47,6,0.0,Greed,441925.79594999994,1
2024-07-31,765.690884,84506.54,43,0.32558139534883723,Greed,442691.4868339999,1
2024-08-01,167.080017,227774.53,57,0.07017543859649122,Neutral,442858.5668509999,0
2024-08-02,782.3681909999999,396320.37,63,0.2698412698412698,Greed,443640.9350419999,1
2024-08-03,464.1897,290532.86,37,0.02702702702702703,Fear,444105.1247419999,0
2024-08-04,-122672.000883,1207744.07,127,0.023622047244094488,Fear,321433.1238589999,0
2024-08-05,-13013.665169,420495.4,80,0.4125,Fear,308419.45868999994,0
2024-08-06,267.318048,61478.38,107,0.12149532710280374,Extreme Fear,308686.7767379999,0
2024-08-07,188.789255,2492.77,33,0.30303030303030304,Fear,308875.56599299994,0
2024-08-08,-40.712216999999995,16299.35,9,0.0,Extreme Fear,308834.8537759999,0
2024-08-09,18082.071276,503204.86,144,0.2986111111111111,Neutral,326916.9250519999,0
2024-08-10,0.0,11339.29,88,0.0,Fear,326916.9250519999,0
2024-08-11,847.7766200000001,44230.21,24,0.16666666666666666,Fear,327764.70167199994,0
2024-08-12,858.6705000000001,54167.32,48,0.125,Fear,328623.37217199994,0
2024-08-13,212.08102,20797.87,23,0.34782608695652173,Fear,328835.4531919999,0
2024-08-14,2168.9015130000003,66710.03,25,0.2,Fear,331004.35470499995,0
2024-08-15,0.0,1522.3700000000001,12,0.0,Fear,331004.35470499995,0
2024-08-16,825.230544,166382.84,35,0.08571428571428572,Fear,331829.58524899994,0
2024-08-17,-288.283113,30248.96,30,0.0,Fear,331541.30213599995,0
2024-08-18,307.201888,62804.48,15,0.8,Fear,331848.50402399997,0
2024-08-19,339.69958299999996,100315.03,8,0.625,Fear,332188.20360699994,0
2024-08-20,192.602844,49914.8,12,0.08333333333333333,Fear,332380.8064509999,0
2024-08-21,656.200925,104990.41,145,0.3724137931034483,Fear,333037.00737599994,0
2024-08-23,1005.30527,63509.56,10,0.3,Fear,334042.31264599995,0
2024-08-24,0.0,34999.67,7,0.0,Greed,334042.31264599995,1
2024-08-25,0.0,21950.28,17,0.0,Neutral,334042.31264599995,0
2024-08-26,231.236918,92611.27,6,0.3333333333333333,Greed,334273.5495639999,1
2024-08-27,0.0,70250.16,50,0.0,Neutral,334273.5495639999,0
2024-08-28,1333.359645,71160.06999999999,9,0.2222222222222222,Fear,335606.90920899995,0
2024-08-29,0.0,9995.85,1,0.0,Fear,335606.90920899995,0
2024-08-30,256.464,37233.24,6,0.16666666666666666,Fear,335863.3732089999,0
2024-08-31,10.882801,107507.43000000001,34,0.35294117647058826,Fear,335874.25600999995,0
2024-09-01,137.433093,12359.68,12,0.4166666666666667,Fear,336011.689103,0
2024-09-02,0.0,30000.42,2,0.0,Fear,336011.689103,0
2024-09-04,1065.785132,131480.97,34,0.14705882352941177,Fear,337077.474235,0
